country,latitude,longitude,magnitude,positive,negative,pos/(pos+neg),Most negative title
Somaliland,9.55,44.05,50.299900398406464,509,1499,0.2534860557768924,UNICEF condemns terrorist suicide attack in Cameroon
Western Sahara,27.153611,-13.203333,54.194513888888885,26,46,0.3611111111111111,Morocco Needs Western Sahara Advocacy to Combat Misinformation
Algeria,36.75,3.05,52.97987499999999,11,29,0.275,Several killed in road accident in Algeria
Angola,-8.833333333,13.216667,55.820166666666665,10,20,0.3333333333333333,"AstraZeneca, UNICEF enlist youth leaders to fight noncommunicable diseases"
Benin,6.483333333,2.616667,50.33425,4,16,0.2,AstraZeneca-Amgen drug fails main goal of late-stage asthma study
Botswana,-24.63333333,25.9,50.77555555555555,3,15,0.16666666666666666,Astrazeneca (AZN) Gains But Lags Market: What You Should Know
Burkina Faso,12.36666667,-1.516667,39.532682926829274,7,34,0.17073170731707318,Burkina Faso army kills 13 terrorists
Burundi,-3.366666667,29.35,49.62326086956522,14,32,0.30434782608695654,Burundi rebel group claims attacks in new offensive
Cameroon,3.866666667,11.516667,41.8446,4,21,0.16,Cameroon: 4 civilians dead in Boko Haram attacks
Cape Verde,14.91666667,-23.516667,50.477500000000006,4,16,0.2,COVID-19 threatening development gains in Cape Verde
Central African Republic,4.366666667,18.583333,45.35609375000001,8,24,0.25,UN condemns rebel attacks in Central African Republic
Chad,12.1,15.033333,56.00154761904762,16,26,0.38095238095238093,COVID-19: Difficult trade-offs in AstraZeneca vaccine development
Comoros,-11.7,43.233333,50.0,0,5,0.0,Comorian FM inaugurates embassy in Rabat | Saad Guerraoui | MEO
Democratic Republic of the Congo,-4.316666667,15.3,51.19367647058822,8,26,0.23529411764705882,Trump acquittal: Pelosi condemns 'cowardly' Republicans
Republic of Congo,-4.25,15.283333,43.63,1,6,0.14285714285714285,AstraZeneca/Oxford Coronavirus Vaccine Trial in Brazil to Continue Following Death of Volunteer
Cote d'Ivoire,6.816666667,-5.266667,52.81583333333334,13,23,0.3611111111111111,"Brazil, Under Mounting Pressure, Eyes Emergency Use For AstraZeneca Vaccine"
Djibouti,11.58333333,43.15,43.43730769230769,2,11,0.15384615384615385,"Several migrants drown, go missing while trying to reach Djibouti"
Egypt,30.05,31.25,50.10984848484851,17,49,0.25757575757575757,The AstraZeneca vaccine and our ongoing uncertainty problem
Equatorial Guinea,3.75,8.783333,52.24875,5,7,0.4166666666666667,"WHO warns against virus complacency, variants provoke new measures"
Eritrea,15.33333333,38.933333,44.583333333333336,4,8,0.3333333333333333,Warning that ‘tens of thousands’ could starve to death in Ethiopia as war rumbles on
Ethiopia,9.033333333,38.7,45.77879310344828,6,23,0.20689655172413793,"Ethiopia's secret war in Tigray region: Ethnic killings, rapes, near-starvation reported"
Gabon,0.383333333,9.45,60.33125,2,2,0.5,Gabon: Illicit bars pop up amid Covid-19
The Gambia,13.45,-16.566667,50.54875,3,5,0.375,"Moderna, AstraZeneca say they have no COVID vaccines for Africa; dire times ahead"
Ghana,5.55,-0.216667,50.31051282051281,11,28,0.28205128205128205,'In a queue to die': S.Africa nurses work in fear and exhaustion
Guinea,9.5,-13.7,51.75102564102565,11,28,0.28205128205128205,Chinese-AstraZeneca cancer cure joint venture raises $100m
Guinea-Bissau,11.85,-15.583333,52.730357142857144,4,10,0.2857142857142857,Guinea-Bissau’s Interim Leader Quits After Death Threats
Kenya,-1.283333333,36.816667,55.01659090909091,15,29,0.3409090909090909,"Kenya, poor nations to get jab from India"
Lesotho,-29.31666667,27.483333,51.875,2,5,0.2857142857142857,South Africa: Getting Migrants Vaccinated Is Critical
Liberia,6.3,-10.8,50.256052631578946,7,12,0.3684210526315789,"On Board Liberian-flagged M/V Mozart Attack, 3 Turkish sailors left behind returned Home, fifteen missing, one Killed"
Libya,32.88333333,13.166667,51.1902205882353,23,45,0.3382352941176471,Haftar critic shot dead in Libya's Benghazi
Madagascar,-18.91666667,47.516667,47.098333333333336,3,9,0.25,20 inmates killed in Madagascar prison breakout
Malawi,-13.96666667,33.783333,49.43564814814816,13,41,0.24074074074074073,"AstraZeneca Vaccine 'Protects Against Severe Disease, Death'"
Mali,12.65,-8,43.36826923076923,5,21,0.19230769230769232,'France stuck in dead end war in Mali'
Mauritania,18.06666667,-15.966667,49.8775,1,7,0.125,"Hard Numbers: Deforestation hits highs, Turkey arrests soldiers, Mauritania busts smugglers, OECD sees hope"
Mauritius,-20.15,57.483333,55.86324324324323,12,25,0.32432432432432434,Daily Covid-19 cases at 7-month low
Morocco,34.01666667,-6.816667,54.68106382978724,15,32,0.3191489361702128,Moroccan PM blames global market for vaccine delay
Mozambique,-25.95,32.583333,47.332222222222214,5,13,0.2777777777777778,Regional body backs Mozambique's anti-terror fight
Namibia,-22.56666667,17.083333,54.79,1,3,0.25,Covid UK: South African strain 'may make vaccine 50% less effective'
Niger,13.51666667,2.116667,50.27805555555556,6,12,0.3333333333333333,Death toll mounts in 'terrorist' attacks in Niger
Nigeria,9.083333333,7.533333,48.72093023255814,8,35,0.18604651162790697,"Covid-19: China seizes 3000 fake vaccines, arrests 80"
Rwanda,-1.95,30.05,45.81263157894737,4,15,0.21052631578947367,African nation worst hit by COVID-19 falling behind on vaccines
Saint Helena,-15.93333333,-5.716667,58.237142857142864,4,3,0.5714285714285714,"Firefighters cutting lines, working to keep Glass fire from following Tubbs route"
Sao Tome and Principe,0.333333333,6.733333,62.0975,4,2,0.6666666666666666,"Covid-19: SII, Gavi, Gates Foundation to produce additional 100 mn doses of vaccines for low, middle income countries by 2021 | Global News"
Senegal,14.73333333,-17.633333,46.37552631578947,3,16,0.15789473684210525,Africa's COVID-19 case fatality rate surpasses global level
Seychelles,-4.616666667,55.45,49.18013513513513,2,35,0.05405405405405406,AstraZeneca's COVID-19 Vaccinations Delayed in South Africa
Sierra Leone,8.483333333,-13.233333,48.150357142857146,3,11,0.21428571428571427,South Korea Grants Emergency Use of Controversial AstraZeneca Vaccine
Somalia,2.066666667,45.333333,38.88725,4,16,0.2,Several dead in Somalia suicide bombing
South Africa,-25.7,28.216667,48.869113924050616,17,62,0.21518987341772153,South Africa Pauses AstraZeneca Vaccine Rollout Over Small but Dismal Study Results
South Sudan,4.85,31.616667,50.037,8,22,0.26666666666666666,"South Sudan: Ebola lurks, COVID-19 rages"
Sudan,15.6,32.533333,41.022608695652174,3,20,0.13043478260869565,Sudan declares 3-day mourning over ex-premier's death
Swaziland,-26.31666667,31.133333,46.01833333333334,1,5,0.16666666666666666,"Coronavirus: Week of Jan. 10 to Jan. 16, Global death toll tops 2m"
Tanzania,-6.8,39.283333,46.976,3,7,0.3,Second night of Netherlands violence as Biden touts herd immunity
Togo,6.116666667,1.216667,72.02,1,0,1.0,Sen. Ernst rips $15 minimum wage hike: ‘Decision better left to states and localities’
Tunisia,36.8,10.183333,47.10125,5,11,0.3125,"Tunisian protesters revive 'Arab Spring' chant, riots continue"
Uganda,0.316666667,32.55,49.92805555555556,7,29,0.19444444444444445,'An Outrage': AstraZeneca Told to Justify Unequal Vaccine Pricing Amid Soaring Profits
Zambia,-15.41666667,28.283333,41.5275,0,4,0.0,"South Africa COVID Strain May Weaken Impact of Vaccines, Says Top Scientist Shabir Madhi"
Zimbabwe,-17.81666667,31.033333,52.12986111111111,11,25,0.3055555555555556,Outrage as Zim asks citizens to pay for Covid-19 vaccine themselves
British Indian Ocean Territory,-7.3,72.4,49.48222222222222,2,7,0.2222222222222222,"India needs more transparency in its COVID-19 vaccine trials, critics say"
